post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
kz6483wfg5lwi|RAPID OH QUEUE TODAY|"Are you looking at the long OH queue times today and don't want to wait 3 hours just to ask a short question or figure out why your code isn't compiling? Come to the RAPID OH QUEUE! This will be an open zoom call where you can ask any question and I will try my best to answer it - the catch is that I will impose a 90 second time limit on each question/answer. Example questions could include some variation of:. > ""what does this  error mean?"" . . > ""why is my debugger not working"". . > ""I have a question about the spec"". . > ""I have a conceptual question about how this function is supposed to work"". . This is not an exhaustive list! If you think your question can be answered in a short amount of time and doesn't require showing any code, come on by!. . OPEN NOW UNTIL 8PM TONIGHT. [https://umich.zoom.us/j/92378569727](https://umich.zoom.us/j/92378569727). . "|135|3|private|||0
l23scu5g56k2r1|For some reason, my range based for loops that are made with iterators are being skipped over|Hello,. My range based for loops that are supposed to iterate through maps just get skipped when the code is running and Im not quite sure why. Is there a special way i need to define iterators?. . What im currently doing is:. for(auto& it : row){. }. . thank you!|67|0|active|If the body of this loop never runs, then either row is empty or the optimizer determined that the loop does nothing. Use a debugger.||0
l1pnggcxuba3r9|min_greater_than_impl|. I've been racking my brain about this for hours but I can't figure out how to make a function that will also find the 4 in the right subtree after going down the left subtreeOne interesting thing is that it prints [ 2 3 4 5 6 7 ] successfully but when calling *tree.min_greater_than(3) it returns 5.|105|0|active|I recommend watching the BST Walkthrough video posted on Piazza.||0
l11g8lmcdtn70q|iterator end()|"if Iterator end() returns an Iterator pointing to ""past the end"", would you return Iterator(last)? If not, how would you be able to go past the end?"|152|0|active|"It will just be node_ptr = nullptr. Since that's ""past the end"" according to the way we defined out list."||1
l0rcqtg8pog2u2|a quick question about grading|Hello,. . When I submitted my code to autograder for project 2,  everything worked fine and I got full points for each section. But after the grades were released, my score was lowered. Is there a specific reason for that, will that also apply to project 3? Looking forward to your response|227|0|active|Are you saying that your final score was released, and then it was lowered afterwards? Or are you saying your score before the deadline differed from your score after the deadline?||0
l0n2btw2pjuhw|euchre_test01, hand 3 help/clarification|"At the start of hand 3, during the 1st trick, the trump suit is Spades. Edsger leads with the King of Clubs. When it's Fran's turn to play, the output says the card played should be the Nine of Diamonds, but in their hand, they have the Jack of Clubs. Why do they play the Nine of Diamonds when they have the Jack of Clubs in their hand? According to the spec, ""If a Simple Player can follow suit, they play the highest card that follows suit. Otherwise, they play the lowest card in their hand."". . Edit: never mind @3840"|54|0|active|Resolved||0
kzrjrx985yr37a|copying info from .h to .cpp files|"when you copy the function stubs from .h to .cpp files, do you also include the class titles? or just the functions? . . . For example, would I also copy and paste the part that says ""class Player { private: "" . . or just the functions inside the class? "|73|0|active|"No need to copy the ""class Player"" part, since one definition is enough. However, in Player.cpp you'll be creating Human and Simple classes that inherit from player, and that's where you'll be overriding and defining the functions."||0
kzq2gh8tm6k6zx|&gt;= Operator|In the event that the ranks are equal for the lhs and the rhs, do I have to confirm that the suit of the lhs is also > or == the suit of the rhs?  . . spacifically, for <=: .     //EFFECTS Returns true if lhs is lower value than rhs or the same card as rhs.. . does same card mean something like suit and rank, or just rank?. . Thank you. |84|0|active|Same card means lhs and rhs have the same rank and suit. If lhs and rhs have the same rank, you want to break the tie by comparing suit in the order D>C>H>S||0
kzhnuoe9k8o2ss|Slide 53 of Euchre Clarification|"What does the picture below mean? Does it mean that Alice always plays her lowest ranking card, and if she has two cards of equal rank that are the lowest but one is a trump card or a led card, she chooses the non trump/led card? Also, doesn't she only get to choose the lowest rank card on the condition that she does not have a card of the same suit as the led card? So why then is that ""considered?"". "|96|2|active|Yes, your understanding is correct - given a trump suit and led suit, that will create an ordering of the cards in a player's hand in terms of highest to lowest valued cards (as described in this picture in the spec: https://eecs280staff.github.io/p3-euchre/#value-of-cards), and if the SimplePlayer cannot follow the led suit, they will play whatever the lowest valued card is in their hand.. . You're also correct that there's no real consideration of the led suit in this scenario when the simple player cannot follow suit - in general your thinking should be about ordering cards based on the trump suit and led suit whenever possible, at least for the simple player, and I think that's what this sentence is getting at. But again, Alice doesn't have any cards of the led suit so they'd only be picking between any trump/non-trump cards in their hand ||0
kzd0kzb43ew4iq|p2 Grades|will p2 grades be put into canvas before the exam? just curious|139|0|active|We will do our best to get those in, but you can always add in your project grade using the hypothetical grades tool on canvas (click on the points box, and add in what you got).||1
