post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
l1mp2t7fgqj3n7|P1 From a Long Time Ago|Hello,. . I was reviewing my grades thus far in the class and one that bothered me was my P1 score. It came to my knowledge that I scored poorly because my functions expected a sorted list when it was to supposed to sort the list within every function. As a result, many functions with correct implementations failed on one small detail. I therefore feel the grade doesn't reflect my mastery of the material.. . I realize P1 was way long ago, and I apologize if this is a bother. In addition, I know EECS 280 has a strict grading policy when it comes to autograder, but I thought this may be an exception.. Thanks,. Daniel |8|0|private|Hi Daniel, unfortunately, cases like this come up a lot and it would not be fair to give credit to some students and not others. Luckily, project 1 is only a small portion of your grade and you were able to learn from it so you can better test your code for future projects.||0
kz7s8wzxtrtl0|How to dereference a pointer array?|"I'm trying to write ""arr[index]"" over ""arr->___"". However it states that the ""Indirection requires pointer operand ('Matrix' invalid)"". What is the issue? How would I get this to work properly? (Are they different ""types"" of pointers?) . . Edit: Solved"|15|0|private|||0
kz7g8rwbd1l3hh|Resize|If anyone has finished resize.cpp or has knowledge on this. Did you test your resize.cpp function with images excpet those horses, crabster and dogs.ppm images that were provided to us, did you just download a ppm file, or download a jpeg/png file and then converted it and then used it. Did the resize function work at that case.|166|0|active|I downloaded some .jpg and .png files and converted them to .ppm files following Appendix A in the spec. My resize.cpp worked with those! (Just make sure they are within the 500x500 limit)||1
kz4pmp7e2x3153|how to test matrix_print by assert?|how to test matrix_print by assert?|71|1|active|Answer you're looking for is in the followups of this post @1111||0
kz4gtuk5kel5li|Style - Code Duplication|For my Matrix_min_value_in_row() and Matrix_column_of_min_value_in_row(), I have virtually the same code besides they return different things (as the name suggest one returns the actual value of the element and the other returns the column that value is in). Based on my tests, the functionality is correct but I cannot pass the style check, so I'm just wondering how different do we have to make them?|105|0|active|The two functions do virtually the same thing, its just one returns the column of the min value rather than the min value itself. Could one be useful for implementing the other, in a way that would reduce code duplication? ||1
kz4d5qh9wyu5zr|How would I test or use resize with images of my own?|Hello!. . After finishing a bunch of tests for Image and Matrix, I am now hoping to test my Resize implementation (and thus also test my Processing file at the same time). However, I am having trouble finding more .ppm images in the P3 format. When I use online converters, they seem to end up in the P6 format, and thus cannot be read by the program.. . How would I go about obtaining appropriate images for use in testing my Resize implementation? Thank you very much in advance for any help!. . (Here is an image of what the P6 file looks like...yuck!). . Screen_Shot_2022-02-01_at_11.56.28_AM.png|172|0|active|See followup||1
kz3ghb2vjji50e|Final score|So I joined the class late and my due date for project 1 just passed. I got a pretty low grade /18 even though I got a 3/3 initially. Is there a way I can find out what I did wrong? Because I failed some pretty basic tests like mean and I don't think I should have.|121|0|active|No, the details of failure in private tests will not be revealed. You can work on your own tests later to see what is wrong or talk about your function design with GSI.||0
kz3byez4kgy2qp|independence of the images functions|should functions like images_set_pixel be able to be called independently of other functions. For example, should we assume that the user initializes the images and rgb channels with images_init before they call images_set_pixel? Or should we call the images_init inside images_set_pixel? (or images_get_pixel) |82|0|active|If it says that you'll be passed a valid matrix/image, then you don't have to call matrix/image_init. If you're just passed a matrix/image, then you will have to call matrix/image_init. ||0
kz353hgz95s55t|Valgrind|I got a 3/3 but under valgrind, there's an error message|98|0|active|The error message suggests something is wrong with your ```percentile``` function in your ```stats.cpp``` line 153. I would encourage you to think of the edge cases where your percentile function may not work.||1
kz1qu1nunn35h3|diff function|I used the diff function and I don't see a difference between my file output and the supposed output. Would this be a problem in autograder?. |65|0|active|did your program print out the 100th percentile? if so, it may just be an issue with the autogravder. I heard they changed something and a bunch of peoples scores got messed up. you also may be missing spaces before each percentile output.||2
