post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
ld3kepqars3bm|Project 2 FAQ|"Refer to this post for Frequently Asked Questions regarding Project 2. Project 2 is due Friday, February 3 at 8pm.  Please keep the followups related to questions in this post only.. Spec is here. .  . Resize GUI repository (you can use this to easily try your resize code on other images!): https://github.com/oalejel/resize-GUI.  . Write clear code! This is especially important for this project, remember:. Matrix width = # of columns. Matrix height = # of rows. Instead of using variables like ""i"" and ""j"" in your for-loops, consider using ""row"" and ""col"" so you don't get confused!. . Main Project Files Questions (Matrix.h, Image.h, processing.cpp, resize.cpp). . Q: When should I use the -> operator? . A: For Matrix, use the -> operator when you are implementing functions only in the Matrix.h file. Good coding style keeps the direct access to matrix objects using the -> operator to a specific set of functions. We actually consider this incorrect behavior, even if you get the right results, so please make sure you use the right function. The same goes for Image and Pixel. . . Q: Why do I have to write functions like Matrix_width? Couldn't I just use matrix->width directly?. A: As explained in the previous question, you should only use the -> operator to directly access a type of struct in a specific set of functions. In Image.h functions and resize.cpp, if you want to access the width of a matrix, you can’t use the -> operator, so we need a function.. . Q: Am I required to use traversal by pointer?. A: No. You are allowed to, but not required to use traversal by pointer in this project. You should choose to traverse by index/pointer based on what makes sense to you logically..  . Q: My program takes a couple minutes or more to run. Is this expected?. A: Yes, but not too long - your program should run in under 30 seconds. Double check that you're not looping unnecessarily or calling an inefficient function within a loop. Perf is also a helpful tool for improving efficiency! https://eecs280staff.github.io/p2-cv/#appendix-b-perf-tutorial.  . Q: Rotate left is failing, even though it was provided. Is there an error in the provided function?. A: Rotate left calls several student implemented image functions, which can cause errors in rotate left.. . Q: Why do we need to create a copy of the image in remove_vertical_seam? How can we do it?. A: When removing a vertical seam, the image has to be smaller. Images are array’s, which have a fixed size, so we have to create a new image that is smaller. We can then copy the pixels over one by one, removing the desired pixels as you go. Since we are passing in an Image pointer, we are passing an address to an Image object. We can then change the pointer to point to the new image object created. Write out a memory diagram to help visualize how this works!.  . Testing Questions. . Q: How can I test Matrix_at without breaking the interface?. A: When thinking of unit testing, you should think in units as behavior instead of units as functions, because it is common to have functions like Matrix_at that solely rely on the underlying implementation. When testing Matrix_at, we really want to test the behavior of setting and retrieving independent values reliably from our matrix. For example, you could test that setting a value at (0,1) doesn't modify the value at (1,0) or other similar variations of this.. . Q: Why am I failing crabster but passing dog and horses?. A: Crabster tends to catch more edge cases. Be sure that in all cases you're checking the correct columns when you compute the energy, cost, and seam.. . Q: One of my processing test is failing, but when I print out the output it matches the correct file.. A: Double check your image init. If you read in the correct image incorrectly, then Image_equal will fail even if you've processed the image correctly.. . Q: I am missing some test cases. What other tests should I write to catch the test cases?. A: Sorry! We don't share what test cases the AG is looking for. The best advice we can give it to brainstorm more edge cases. . . Q: When will project grades be released?. A: You will be able to see your score including the private tests on the autograder approximately a week after the project deadline.. . Setup Questions. . Q: I'm trying to run processing_public_test.cpp/resize.cpp on XCode, and Xcode is saying that it's unable to open dog.ppm/crabster.ppm/horses.ppm.. A: You need to update XCode's custom working directory: https://eecs280staff.github.io/p1-stats/setup_xcode.html#run.  . Happy coding!"|1116|1|active|||0
le1t6n8wwem3fq|Project 2 Grading Statistics|When will the grading statistics for Project 2 be released?|89|1|active|They've been updated now.||0
ldtabjkxr2q46y|p2 autograder final grade|Hello, I was checking my autograder final score today and realized that the autograder only chose to grade my second to last submission. My last submission included bug fixes that I believe would have fixed some of the areas where we lost points. I was wondering where in particular the autograder marked us down in the final submission and why it would have resulted in a lower grade than the second to last. my um-id is 48817232|11|0|private|The autograder automatically selects the submission that would give you the highest score.||0
ldsgf3xfnm6hk|Do we also need to write the implementatoin for the friend function ?||231|1|active|"Yes, you need to implement it. Though you don't need to rewrite ""friend"" before it, just implement it as a normal function."||1
lds5cyd3my64tw|Project 2|saw another question that answered my question thank you! |101|0|active|Resolved||0
ldqyb9xyzgm1h2|Private Test Cases|When will private test cases and our final score be released for project 2?|180|9|active|soon™||1
ldpj2bfjv0i567|Project 2 Submit Issues|I had a question about project deadline specifics and submit issues. Will I get points reduced since I submitted a couple minutes late? I pressed the submit button and while it was submitting, the loading bar for the submit started to permanently load. I then tried cancelling the submission but the page started to not respond so I closed it. So I submitted it again after so I was wondering if this submission would not count.|9|0|private|As long as you started the submission before the deadline, it will still count||0
ldp9yvwqfhl5ai|Resize UB check fail|So I passed the public test for resize.cpp, but failed the UB check during run time due to a supposed memory leak. My AG score was 62/64 due to missing a bug per test suite.. . How bad will the resize UB check fail come back to bite me when the private tests are ran?|155|1|active|Unfortunately it's hard to say, given the nature of undefined behavior. In the future we recommend setting up the address sanitizer to avoid issues like this: https://eecs280staff.github.io/tutorials/setup_asan.html||0
ldp9alsa1lqqy|Style best score|Hi,. . I was just wondering how the style grading works. I heard that the best score is taken from autograder, does it take the corresponding style grade from the best score too? My last submission lost three points from long functions therefore giving me 61/64, but I had a 64/64 earlier. Will it grade my code for the 64/64 one? . . Thank you|219|0|active|The score that you will get will be the best total score, combined public and private, that you got from any single submission. The style checks are part of this.||1
ldp93eg48845rz|autograder latest submission|Hi,. . My last submission for the autograder was yesterday. Will it use that submission for the final score?|172|0|active|Your final graded score will be according to whichever of your submissions scored the highest (including private test cases).||0
ldp8ztrtenaki|Late Days for Projects ?|My score for project 2 was low because I didn’t close a few brackets before submitting it to the queue even though my code didn’t match the grade it got. Is there a way I can appeal for a late day or something similar ? |191|0|active|There are no late days for projects. Late days are usually only granted for extenuating circumstances. If you think this applies to you, then fill out the Extension form.||0
ldp8nfsypq11jy|autograder submission|I just used my final submission to autograder and everything works as intended except I get a UB check on resize.cpp because, on the pathway where the file prints all the way, I returned 1 (like in the error cases) when 0 was expected. I still got 1/1 for the public case, however. Will this affect my grade on the private tests and, if so, could I use an extra submission to change this since there is nothing in the spec about which return value to use for the successful case?|11|0|private|For the sake of fairness, we do not allow extra submissions on a case-by-case basis except in extenuating personal circumstances.||0
ldp8ff1z2dio7|Does the queue delay our submission time?|Hi,. . Is our submission marked as when it made it out of the queue or when we hit submit? What if our queue goes after the deadline?. . Thanks|124|0|active|It's marked when we hit submit. ||0
ldp896vqklz5op|How to find output ppm|My remove vertical seam is failing on the dog tests and I've tried using the debugger. I was wondering If there's a way to see what my code is removing in a picture. I feel like I heard there were files that the public tests output our test images into, but I can't find them. Is there any way for me to see the differences?|81|0|active|The tests should output files that end in .out.ppm. Try looking in your FileExplorer/Finder.||0
ldp88oggkm556m|Resize.cpp not inputting updated version of image|In our resize.cpp file I have declared an ifstream and ofstream and used the seam and print functions to update to a new temporary image. For some reason the output to dog_4x5 is the original image and we cannot figure out why. When we change around the code it prints out the new image to the terminal but not the output file. . . my uniqname is mbkramer|66|0|active|Did you remember to make the original Image pointer reference the modified image?||1
ldp854fop203us|autograder past 3 submissions|i've already used my 3 autograder submissions for today. i added one more test case and i was wondering if i could still submit again.. . i remember for engr 101, we could still submit after our daily submission limit, but we just wouldn't know the score of that submission until grades were released, so i'm wondering if that's the same for this 280 as well. |132|0|active|nope sowwy||0
ldp7rraui9s2uw|resize public test error on autograder|"Does anyone know about this error and how to fix it? my resize public test passes on my terminal, but it doesn't on autograder. It just says ""no output""."|66|0|active|My best guess without looking at any code is that you're indexing out of bounds somewhere.||0
ldp772mc4hl4a1|Is autograder down?|Is autograder down? It isn't letting me submit right now and I know I haven't used all 3 submits today?|118|0|active|It's working for me||0
ldp6cy0seml1ii|Autograder is saying that two of my test cases for Matrix are false positives, but they aren&#39;t|Everything in my code passess perfectly, but for some reason these two test cases are giving the autograder problems. Can someobdy look at my autograder submission before I do my final submit? Thank you very much. I have double checked several times, and talked to others if they can see a problem, and nobody has yet.|126|0|active|"""False positive"" means that the test fails even when run against a correct solution. One of your asserts must be incorrect."||0
ldp65fhrm2f44d|remove_vertical_seam help|I'm debugging my remove_vertical_seam and I have no idea what the problem is, i've been debugging it for the past hour and a half and nothing is pointing out to me. I can only see that the difference between the img_correct and my_img is my img goes one extra value but I have no idea how to fix it. (uniqname:mederand).|9|0|private|||0
ldp63xyquov3zi|How to see the pictures produced from project 2|Hey guys, after we have finished the project, how do we use the program? I've been seeing people resize random pictures but idk how to do that...|86|2|active|Find an image you would like to resize (within the max capabilities of your program), use an online converter to get it to .ppm format, move the .ppm file into your project directory, and then resize it at the command line using resize.exe, then convert the out.ppm file back into a .jpg||0
