post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
le2a4i8th04l5|euchre_test01 explanation|To help debug your euchre program (specifically euchre_test01), we have provided an explanation for  each players decision making in each hand.. . Helpful Tips:. 1. If your player is playing or leading the wrong card, take a look at the play_card function, specifically how you compare cards and consider trump.. 2. If your player has the wrong cards in their hand, take a look at the shuffle function in pack.. 3. If your player is calling up trump when it they aren't suppose to (or vice versa), take a look at the card classification functions in Card.cpp (is_trump, is_face_or_ace, is_right_bower, is_left_bower).. 4. Make sure you ALWAYS account for the left bower. It is considered a trump suit not it's original suit. Ex: if hearts was trump, the J of Diamonds is considered a heart not a diamond.. . You can find the explanation in the publicEECS280 drive or by clicking this link.|938|5|active|||1
lds3fpnyi9i7jk|P3 FAQ|"P3 Overview. Slides. Recording. . Euchre Rules. Q: I’ve never played Euchre before, how do I learn the rules of the game?. . A1: Spec: EECS 280 Euchre Rules. . A2: Slides: Welcome to Euchre Afternoon. . A3: YouTube: How to Play EECS 280 Euchre with Simple Players. . Q: How come the left bower was played when the led suit is trump? Why didn’t the left bower follow suit?. . The left bower is always considered the trump suit! Let’s say trump is hearts. That means the left bower is the jack of diamonds. If the led suit is diamonds, playing the jack of diamonds DOES NOT follow suit because the left bower is considered the trump suit (aka hearts). If the led suit is hearts, playing the jack of diamonds DOES follow suit because the left bower is considered the trump suit (aka hearts).. Card.cpp. Pack.cpp. Q: Why won’t pack.in open in pack public tests when running on Xcode?. . Click on the name of your scheme in the toolbar at the top left, Edit Scheme > Options > Enable “Custom Working Directory” and press the little folder icon. Pick the folder that contains your code along with pack.in. This will ensure that the file is visible to your executable. This is usually not a problem, and we are investigating the issue.. Player.cpp. Q: Can I add helper functions while implementing the Player classes?. . You are allowed to use helper functions, but these helper functions should not change the interface of the class. So within your implementations of the class’s member functions, feel free to call helpers. But in your test files, you should not assume that these functions exist (because you should not alter the interface for the classes). This also applies in your euchre driver as well! e.g. If you add a helper function to the simple player class, you can use it within that class, but you can’t use it in the driver since it won’t be part of the Player interface!. . This is especially important because when we run your test cases against an intentionally buggy solution, that solution will not have your specially defined helper functions! So just use the interfaces of each class when you test them.. . Q: Do I need to worry about the human player doing (insert illegal move) during the game?. . No, in accordance with the spec you can assume that a human player will follow the rules of the game and will not attempt to cheat.. . Q: Why am I getting a compiler error for calling sort?. . Note that the sort function modifies the hand. You cannot modify member variables in a const function, so you’ll receive a compiler error you call sort in a const member function.. . You shouldn’t need to sort using card less. When you print the hand in order it should be sorted using the < operator. You could sort with card less when determining what action to take, but you should be able to find the min/max card in the hand without sorting. You could use a functor to sort using card less, but those are only covered later in the course. Generally: if you need to use sort, just the default one will be fine.. . Q: I keep getting an error: “error: creating array of ‘Player’, which is an abstract class type"" or error: creating vector of ‘Player’, which is an abstract class type” or “Allocating an object of abstract class type Player” or “Allocating an object of abstract class to type Simple”…what does it mean?. . Player is an abstract class because it has at least one pure virtual function (see https://eecs280staff.github.io/notes/10_Polymorphism.html#abstract-classes-and-interfaces for a detailed description). You cannot create an object of an abstract class so you may not create a Player object. If you haven’t implemented all the player class functions in simple and human player, you also cannot create a simple or human player object because the simple and human classes inherit the pure virtual function.. . If you are getting the error on a line where you create a Simple or Human player, go back and ensure you coded each of the required functions. If you are getting the error on a line where you create a Player, think of another way to code the function. There are no instances where you should be creating a Player because none of it;s functions are implemented. Note: you are able to create a Player* that points to either a Simple or Human player. This is because you are not actually creating a Player object, you are actually creating a Simple or Human player object.. euchre.cpp. Q: Why am I passing euchre public test, but failing euchre public test with solution card, pack, and player?. . This means that when your euchre.cpp is run with the instructor solution implementations of card, pack, and player you produce incorrect output. This likely means that you’re making an incorrect assumption about what functionality should go in card/pack/player versus in the game of euchre. For example, make sure that you’re not printing output in player.cpp that should be printed in euchre.cpp.. "|1065|2|active|||0
ldno7f70ad625|Learn to Play Euchre!|Hello everyone!. . Please get hyped for our world famous once-in-a-semester EECS 280 euchre social! This Saturday, February 4th, the EECS 280 staff will be hosting a student get-together where you and other students will have a chance to learn and play Euchre. Not only will you have a chance to enjoy a fun card game with other students, but this event is also very helpful for the logic behind coding project 3 - the Euchre project.. . From 12:00 - 12:15 pm EST in Mason Hall 1427, we will be giving a basic rundown of how to play Euchre before breaking off to play in smaller groups until 2pm. Cards will be provided, but do feel free to bring your own if you want.. . The link to the slides on how to play are located [here](https://docs.google.com/presentation/d/129P1PUHSY4EA9N4Ag0CJlPc3tEowegAwLJ6E03vKhqw/edit?usp=sharing), but we will go over these again on Saturday. We look forward to seeing you!. . \-EECS 280 Staff|495|1|active|||0
lfbwlj1nq257nh|Couple of Grading Questions|A couple of questions with grading: . . 1. Is it possible to see autograder private test error messages? I had a few errors with my pack reset function in p3 and am unsure what I did wrong. . . 2. I submitted a regrade request for the midterm and heard back from it around 7 pm today but had another question, is it possible to ask what I did wrong again? (I understand that regrade requests are closed) . . uniqname is haasf |9|0|private|1. We don't release information about private tests. As a matter of fact, I can't even see error messages of your private tests. If you'd like to discuss it, proffice hours would be a good place.. . 2. Unfortunately, we don't accept regrade requests after the deadline. A regrade request gives us a second chance to look at your answer more closely with a fresh mind, so it is unlikely that there is still a mistake. If you do believe there is still an error or would like to discuss with someone to understand your error better, you are more than welcome to attend staff office hours or proffice hours.||0
lfao312s5qd4m|Getting points back for a whitespace error in euchre.cpp|Hello, I was wondering if there was any way to get any points back for the euchre project. We had mistakes in Card.cpp and Player.cpp therefore it was really hard to test euchre.cpp, however I think we wrote that file correctly other than one white space error (we outputted the hand number a line too high). Correct me if I'm wrong, but I believe the euchre tests with solution card, pack, and player are using working versions of these files and therefore are only testing euchre.cpp. We did not pass any of these tests (presumably because of the whitespace error) and we were wondering if there is anyway to get some of these points back as if that was the only mistake we made it was very insignificant. It seems unfair that such a small error would cause us to loose 18 points and make our grade significantly lower. I completely understand if there is no way to get points back but I thought I'd ask. Thank you so much!|12|0|private|Unfortunately we’re unable to do this :( …||0
lf9xv2hg5mx3eu|Project 3 Private Test - Question on euchre_22 test|Hello EECS280 Instructors,. . After reading my private test results for project 3, I noticed that I failed euchre_test22 private test but passed euchre_test22 with solution Card, Pack, Player. Is this result expected or is this an error autograder presented? Thanks and have a good day!. . . |8|0|private|This is valid -- this means that your card, pack, and / or player implementation was incorrect, but euchre.exe provides the correct output on test22 when plugging in the correct card / pack / player.||0
lf788a797dg2q8|Project 3 Private Tests|Just got my score for project 3 back on the autograder. Is there any way to understand what went wrong in private tests? When I click on it all it tells me is that the output was wrong. Would like to be able to figure out what happened.|224|0|active|If you would like further clarification on what issues your program might have, I would suggest coming to Proffice hours. ||0
lf4mbzkewud4yn|Euchre Grades and Web Autograder Release|Hi, I was just wondering when the Euchre final grades will be released, as I know it usually is a couple of days after due to things like extensions (this time it got extended for everyone though so I don't know if it would come sooner). I was also wondering, when will the autograder for project 4 be released?|14|0|private|If another instructor has a better answer feel free to update. I believe the P3 private grades should come out within the next few-ish days, since I don’t believe we have any outstanding extension requests for P3. As for the P4 AG, it should come out Monday. ||0
lf3ddhkvca91ws|Project 3 autograder|Hello,. . I submitted an admin request about this, but the final submission my partner and I made on the Autograder for Project 3 does not correctly reflect what we intended to submit. . . We were trying to save our submissions until we were sure that our own compilers were producing the correct results,. . We didn't realize that the Autograder would place a very long queue when we made our submissions attempts today, resulting in us rushing our submissions and the Autograder taking a very long time to process our submissions. So therefore, our last submission does not properly reflect what we intended to submit.. . So, we wanted to ask if it was possible that our submission that we made on March 10 at 7:27pm (53/69) or the submission made on February 23 (56/69) be graded instead? Whatever the higher score is, can we keep that one?. . Uniqnames: chenww, nwweaver. . Thank you very much.|8|0|private|The score that will be used will be the highest overall score across all of your submissions (with both public and private tests).. . For future projects, definitely submit early and often, especially since you don't get any single day's submissions back if you don't use them. Use them or lose them.||0
lf3aq9crilb4cf|submission|Hello, . I had made a change to my project at the last second before submitting. It caused a compilation error, and I got a lower score than before. Would I be able to submit one more time as I still have one submission. If not could my previous submission be graded instead as it got a higher score than my last one.|8|0|private|Your overall (public + private tests) best score is your final score for this project, not necessarily the score of the last submission.||0
lf36tzp58zu16o|Autograder quits after a couple lines|I just turned my project into the autograder twice. In the first submission, the autograder printed out the entire euchre game, but the second time it only printed out a couple lines. The only change I made was adding a cout statement in main() and my code is working fine in my debugger. I didn't change anything in any other files and I didn't change anything in my Game class. Does anyone know what the issue could be?|9|0|private|My guess is the cout statement might access some memory incorrectly or that may not have been initialized yet. Luckily, the highest score for the project will be taken, not the most recent one.||0
lf36nx5wc0idj|nvm||8|0|private|resolved||0
