post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
lcgm3rz7e4i7dn|Project 1 FAQ|Refer to this post for Frequently Asked Questions regarding the setup tutorial and Project 1.  The setup tutorial itself is linked on the eecs280 website.  Project 1 is due Wednesday, January 18 at 8pm.  Please keep the followups related to questions in this post only.. . Q: I get this error when trying to run VSCode on WSL (error starting the pipe progam):. . A: Try changing:. . “pipeProgram”: “c:\windows\sysnative\bash.exe”,. . to. . “pipeProgram”: “/mnt/c/Windows/System32/bash.exe”,. . in the launch.json. . Q: I’m trying to debug my project with VSCode on Mac, but it’s skipping all my breakpoints. What do I do?. . A: This is a known bug in the Microsoft C/C++ extension. Try installing the `CodeLLDB` extension with the following steps:. . . In VSCode, go to the Extensions tab and search for “CodeLLDB”. . . Set your `launch.json` configuration to the following:. . . { “name”: “(lldb) Launch”,. . “type”: “lldb”,. . “request”: “launch”,. . “program”: “${workspaceFolder}/stats_tests.exe”,. . “args”: [],. . “cwd”: “${workspaceFolder}”,. . }. . Q: VSCode/macOS: Why am I unable to view console output?. . A: Try installing the `CodeLLDB` extension: https://eecs280staff.github.io/tutorials/setup_vscode.html#macos-1. . Q: I haven’t worked with vectors before - are there any recommended resources?. . A: Check out the project 1 vector tutorial https://eecs280staff.github.io/p1-stats/vector.html. . Q: My output is not printing out…what might be causing this? I am getting an “Invalid Read” or “Segmentation Fault”…what might be causing this?. . A: This is caused by an “Access-out-of-bounds” error. You are indexing past the valid elements of a vector and reading some unknown data! This is undefined behavior that computers handle differently (which is why this may fail on the autograder but not locally). Re-read your function and think about where it could index out of bounds. Write some test cases that test the bounds of the vector to help you catch the bug!. |1112|1|active|||0
ldnphop1rpm5e8|Resize read file error: aryamang|After testing resize based on the details from the project specs, it works perfectly. However, on auto grader it says there is an error reading the file and I don't know why. |10|0|private|Please specify your uniqname in your profile as per @64 so we can look at your AG submit.||1
ldgeh54we3a2np|Summary function implementation won&#39;t let me return my vector of pairs.|When I try to compile my stats.cpp I get this error. Any help would be greatly appreciatied!. |3|0|private|I actually figured it out. Had to add braces for the functions and move them out of main().||0
ld6dum3cz574u6|Question about p1 grading|I get a 9/9 on Autotrader but only get 20/24 as my final points. I've already written many tests in test file. Is it because we need to. cover all edge cases in test file?|130|0|active|Yes, your implementation of the functions in stats.cpp most likely did not pass some of the edge cases which is why you lost some points.||0
ld6d4ggb4rh3os|Haven&#39;t received grade for project 1|The score for project 1 still shows -/24 on my canvas, is it because my project has not been graded yet or is there something wrong?|109|0|active|Your project grade should be available on the autograder, canvas will be updated eventually.||0
ld6b2i03jc36eo|Feedback: Error with my mode function in project 1|Hello,. . My mode function for project 1 failed 'stats test mode 1' in the autograder. I wanted help to find the source of the error, so I can avoid it in the future. I've attached my code for my mode function (it uses the data of the summarize function, which passed all of its tests). . . Thank you. . . |9|0|private|Can you explain why your stopping condition on your for loop is i < pairs.size() - 1?||1
ld2icyn0pv46av|Project 1 Submission|Hello Instructors,. For some reason, I thought that there was a 2 hour grace period after the project was due at 8 pm, so I worked on it and tried submitting at 9:50, before realizing that a 2 hour grace period was not in place. Is there anything I can do to receive partial credit for a late submission? I've done the best I could with my busy schedule as I also ran for president of Club soccer tonight. This is the first project and I am super keen on doing well in this class; anything would help, thank you for your time. . . Best regards,. Suhith|62|0|private|Unfortunately, the 8pm deadline is strict for all students, and we do not accept submissions after the deadline. However, even if you do not get the grade you'd hoped for, there are still more projects to come and opportunities to do well in the class!||0
ld2evgpuzp62ce|Anyone know when autograder will fully grade?|It says in the syllabus that auto grader will grade our private tests and public tests, grading the private tests after the deadline. Does anyone know how long it will take for out private test scores to be released?|172|1|active|@588||0
ld2dzoyooc957p|autograder is down-- 7:56|my submission to my autograder is not working. after i type n my uniqname and have all the correct files up|147|0|active|||0
ld2clz1v730rl|Error in stats_test|I'm getting this error which I don't understand because when I run my stdev() code in a different compiler, I get 1.87083, so I don't quite understand why this is happening.. |83|0|active|Check out the followup discussion in @121||0
ld2cj6f8aay2n9|autograde| had a spacing error in my main just not the correct spaces between numbers when cout. Can I request an extra submission? I finished my attempts and I can get a 9/9. I don't need a feedback just submission. Thank you|12|0|private|Unfortunately, we cannot grant you any extra submissions.||0
ld2c4pi8lrg2fb|summary|". summary.push_back({currValue,count});. . When I try to do this in summarize I get an error that says ""expected expression."" I have no clue why this is happening because I modeled summarize after my mode function to iterate and count through the vector. "|98|0|active|||1
ld2bui2dbsy2jp|Error Output for Compilation Warnings|I got some error output for compilation warnings part on auto grader.... I don't know how to fix those and I didn't got those error messages on my terminal even though I used sanitizer already. could someone help me with this? will this affect the output of private tests?|70|0|active|This is ok, don't worry about it.. . The time stamp for your makefile and AG differed.||0
ld2btvqr5nd3cp|summarize function error|"Hello,. . I am trying to implement the summarize function and I believe that I am using the right method but for some reason when I try to write:.         vp.push_back(innerVal);.         vp.push_back(frequency);.         summary.push_back(vp); --> this last line has an error ""No matching member function for call to 'push_back'"". . Does anyone know how I can fix this issue?"|84|0|active|Each element in the vector is a pair<double, int>, so you will need to push back like this: vp.push_back({innerVal, frequency})||1
ld2bd9bm2sn46v|Summarize|". . I am getting an ""expected expression"" error. I do not know how to fix this this was not an issue earlier"|13|0|private|||1
