post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
lfyfu1jqps04s3|Private Test Cases Review|I was wondering if there is a way for me to go over the private test cases that I lost points over, just to see what I can do better for future projects. |7|1|private|Unfortunately, we cannot reveal the contents of private test cases to students. However, feel free to come to office hours so an instructor can help look at your code. ||0
lfx8cbeyvuz7nb|Project 4|Hi. Could someone please take a look at me and my partner's submission for project 4? We lost a lot of points on private tests when we caught all 21 bugs and made sure to thoroughly test the code. I'm not sure what we lost points on.. . My uniqname is edwila. Thanks.|218|0|active|You've failed some private test cases for insert, erase, and the assignment operator.||0
lfx87egw8n643t|0 on Project 4|Hi, I have an extension for project 4 until tomorrow and it just got put into canvas today as a 0. Will this be changed after my extension?|195|0|active|Canvas should eventually reflect your true score||0
lfx2j62nvij4j5|Confused on how I failed so many List Private Test cases|Title, not sure what caused all these private test cases to possibly crash. I went into OH where I had my code looked at and the IA stated that everything seemed to be fine. The only thing I'm a little iffy on is the end() implementation, which I assumed was given to us (since begin was technically given to us), but even then that should only affect iterators.. . uniqname: elghoulh. . The worst part of all is that I had memory sanitizers enabled, so if there were any issues, ideally they should've been caught by test cases.|12|0|private|I took a look at your code and found a problem that could be the reason.. In == and != operators, you compared datum instead of node_ptr to check if two iterators are equal or not. However, two iterators are equal if they point to the same node and not equal otherwise. If two iterators point to the same node, then they always have the same datum, but the reverse is generally not true.. I guess most private test cases use these two operators, even if they are not explicitly testing them, which could be why many test cases didn't pass.. I'm sorry that this happened to you.||2
lfx17iwkdeao4|does autograder take the most recent submission?|So my highest score on the autograder submissions for p4 was a 61/63. My last submission was a 58/63 because of an error I missed. My final score was calculated based on the recent score (58/63). I thought it's always the highest score taken. Is that not the case?|169|1|active|It's possible that your 58/63 submission passed more private tests than your 61/63 submission, leading that to be the final score.||1
lfwumql7cgg256|Why Are There Private Tests For API.cpp When We Don&#39;t Write Test Cases|After the private tests were released, I came to see that all of the private tests for api.cpp failed. I have no clue how this is even possible, or why we are given private tests on something that we aren't even prompted to test, while all of the public tests passed. The point of writing test cases is to make sure that you can catch any bugs that the public tests don't, but how am I supposed to catch bugs for private testing when I am not prompted to write test cases to begin with. Why are we graded on private tests on code that we aren't supposed to test ourselves?. . P.S. I had 63/63 on submission, and everything seemed to worked perfect.|176|14|active|While I agree with your point that writing test cases is to catch bugs, not having the instructors asking you to write and grading those test cases does not prevent you from writing your own private tests to catch bugs. I'm sure this will become more common in ULCS courses as well as in the industry as a software engineer. I understand that you are disappointed with your api.cpp private test score, but I do not believe it is the instructor's issue here, since it did not prevent you from testing it yourself to make sure you have working code. In addition, Autograder did disclose it would run private tests on api.cpp, so this wasn't really a surprise.. ||1
lfwsnv5ac721aj|List test insert 3 private test|My list test insert 3 private test failed and I have been trying to figure out why. I have not been able to write a test case where my insert function fails. Is there anything obviously wrong with my insert function? Thank you so much.. . |10|0|private|"Consider what happens if we want to insert a node at the end of the list, and thus pass in an iterator returned from List::end() (we want to insert before the iterator, which is currently at one past the end, so we're effectively inserting at the end). Thus, the iterator's node pointer is nullptr. This is a valid input, as the iterator passed in must simply be a ""valid iterator associated with this list,"" and doesn't have to be dereferencable like in other functions (such as erase()). Does your else{} block handle this input correctly? It looks like it'll try to dereference a nullptr by accessing n->prev."||1
lfw8o9yztxc7i2|Project 4 Grades|I got a 61/63 on the public tests, but when the private tests came back I got an 80%. I don't think it's fair considering there was no way we could test our api other than the autograder and the tests that were provided to us. How would I make sure this doesn't happen again? |275|12|active|For p4. you can write you own private tests by making your own test files by inputting GET, POST, and DELETE requests and seeing what it outputs and see if it matches what the spec wants these requests to do. . . And you should always aim for full score on the autograder to ensure that you get a high score on the private tests.||2
lfw3eyg7cn96vs|Issue with creating entire queue (possible error with adding Students to the queue)|"Hello, . when I'm trying to iterate through the queue list using a for loop, my code never enters the for loop. I tried 3 different for loop conditions, but it still won't work. I think that there may be an error when I add a student to the queue- specifically, I don't think the student 'stays' in the queue.. . I create a student Sonia, of which I enter/assign the location, position, and uniqname, and then do queue.push_back(Sonia). But queue.empty() (after a student was added and I try to add another student) always equals true, meaning that there are no students in the queue. Could someone check my implementation to see why this may be happening?. . I've used the debugger and it skips over the for loop. As a result, the json with a queue of people comes out to be ""null"". I've also used the sanitizer, and there doesn't seem to be any memory leaks.. . Thank you in advance! My uniqname is skore. "|11|0|private|Could you make sure that your `Student` object, `sonia` is valid (i.e. both `location` and `uniqname` are valid) after line 115?||1
lfvxwr59pjg32z|Way to see private tests|Hello, . . For Project 4, I got almost all the points on the public tests, 62/63, but when my score came back, it turns out I missed a huge amount of points on the private tests, dropping my project grade to 80%. . . I can't figure out what I did wrong. Is there a way to see the private tests so I at least know what I failed and I can review/ do better next project? |226|13|active|Unfortunately, we cannot show the content of private test cases. But, you can come to office hours so a member of staff can help look at your code. ||0
